Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771522095245,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,62.30649185180664,54.540863037109375,51.88875198364258,56.012596130371094,49.46847915649414,46.75883102416992,46.78813171386719,49.538978576660156,NaN,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,NaN,100,0,0,0,0,24.09626579284668,137438953472,0,20267925504,0
207,1771522095246,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,62.30649185180664,54.540863037109375,51.88875198364258,56.012596130371094,49.46847915649414,46.75883102416992,46.78813171386719,49.538978576660156,0,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,0,24.09626579284668,137438953472,0,20268990464,0
199,1771522095454,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,62.30649185180664,54.540863037109375,51.88875198364258,56.012596130371094,49.46847915649414,46.75883102416992,46.78813171386719,49.538978576660156,4.761904716491699,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.047618865966797,80.95238494873047,14.285715103149414,5,0,0,26.482789993286133,137438953472,0,20318339072,0
209,1771522095654,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,62.30649185180664,54.540863037109375,51.88875198364258,56.012596130371094,49.46847915649414,46.75883102416992,46.78813171386719,49.538978576660156,5.263157844543457,5,5,0,0,0,0,0,0,0,0,0,9.523809432983398,0,4.761904716491699,9.090909004211426,0,0,80,55,15.789472579956055,19.047618865966797,5.263157844543457,5,26.482789993286133,137438953472,0,22765305856,0
199,1771522095864,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.60655975341797,59.344825744628906,53.96273422241211,53.39588165283203,51.01411437988281,47.929256439208984,47.66775131225586,50.57368469238281,10,9.523809432983398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454502105713,80.95238494873047,9.523809432983398,4.761904716491699,0,0,0,26.482789993286133,137438953472,0,23673700352,0
207,1771522096064,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.60655975341797,59.344825744628906,53.96273422241211,53.39588165283203,51.01411437988281,47.929256439208984,47.66775131225586,50.57368469238281,9.523809432983398,5,5,4.761904716491699,0,0,0,4.761904716491699,10,5,10,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,57.894737243652344,35,15.000000953674316,5.263157844543457,9.523809432983398,10.526315689086914,26.482789993286133,137438953472,0,24578408448,0
209,1771522096271,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.60655975341797,59.344825744628906,53.96273422241211,53.39588165283203,51.01411437988281,47.929256439208984,47.66775131225586,50.57368469238281,5,5,0,4.761904716491699,0,0,4.545454502105713,0,4.761904716491699,4.761904716491699,0,4.761904716491699,9.523809432983398,5,0,0,0,0,28.571430206298828,40,42.105262756347656,14.285715103149414,10,4.761904716491699,72.04273223876953,137438953472,0,24856330240,0
199,1771522096481,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.60655975341797,59.344825744628906,53.96273422241211,53.39588165283203,51.01411437988281,47.929256439208984,47.66775131225586,50.57368469238281,28.571430206298828,33.333335876464844,0,0,9.090909004211426,0,0,0,4.761904716491699,0,0,4.761904716491699,5,4.545454502105713,0,0,0,9.523809432983398,65,30.000001907348633,18.18181800842285,21.052631378173828,9.523809432983398,9.523809432983398,72.04273223876953,137438953472,0,24751472640,0
202,1771522096681,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.60655975341797,59.344825744628906,53.96273422241211,53.39588165283203,51.01411437988281,47.929256439208984,47.66775131225586,50.57368469238281,5,5.263157844543457,9.523809432983398,4.761904716491699,0,0,0,0,5,4.761904716491699,4.761904716491699,0,5,0,0,0,0,5,70,25,25,10,5,15.000000953674316,72.04273223876953,137438953472,0,24770215936,0
209,1771522096884,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.220123291015625,58.292213439941406,53.527835845947266,53.248687744140625,54.101478576660156,50.84807586669922,50.63957977294922,53.51890182495117,10,9.523809432983398,5.263157844543457,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15.789472579956055,35,21.052631378173828,9.523809432983398,15.000000953674316,38.095237731933594,72.04273223876953,137438953472,0,24766316544,0
200,1771522097094,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.220123291015625,58.292213439941406,53.527835845947266,53.248687744140625,54.101478576660156,50.84807586669922,50.63957977294922,53.51890182495117,4.761904716491699,4.761904716491699,20,25,0,8.69565200805664,0,0,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.545454502105713,0,0,4.761904716491699,9.090909004211426,0,9.090909004211426,5,4.761904716491699,4.761904716491699,40,50,72.04273223876953,137438953472,0,24778113024,0
200,1771522097295,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.220123291015625,58.292213439941406,53.527835845947266,53.248687744140625,54.101478576660156,50.84807586669922,50.63957977294922,53.51890182495117,5,5.263157844543457,23.809524536132813,20,0,0,0,0,0,0,0,4.761904716491699,5,4.761904716491699,9.523809432983398,0,0,5,0,13.636363983154297,5,5,47.619049072265625,47.36842346191406,130.68434143066406,137438953472,0,24759255040,0
209,1771522097496,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.220123291015625,58.292213439941406,53.527835845947266,53.248687744140625,54.101478576660156,50.84807586669922,50.63957977294922,53.51890182495117,5.263157844543457,5,36.842105865478516,25,0,0,0,0,0,5,5,0,0,5,0,4.761904716491699,0,4.761904716491699,10,0,4.761904716491699,0,47.36842346191406,20,130.68434143066406,137438953472,0,24745918464,0
204,1771522097706,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.220123291015625,58.292213439941406,53.527835845947266,53.248687744140625,54.101478576660156,50.84807586669922,50.63957977294922,53.51890182495117,13.636363983154297,9.090909004211426,33.333335876464844,25,4.545454502105713,0,0,0,8.69565200805664,0,0,0,4.761904716491699,4.761904716491699,0,0,0,4.761904716491699,9.523809432983398,4.761904716491699,10,4.761904716491699,40,33.333335876464844,130.68434143066406,137438953472,0,24748769280,0
200,1771522097910,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.14057540893555,51.64984893798828,48.94270324707031,49.83544158935547,52.25236511230469,49.88526916503906,50.54435348510742,53.27667999267578,5,5,25,31.81818199157715,0,0,0,0,0,4.761904716491699,0,0,5,0,0,4.761904716491699,0,0,9.523809432983398,5,9.523809432983398,4.761904716491699,36.842105865478516,42.105262756347656,130.68434143066406,137438953472,0,24747671552,0
200,1771522098110,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.14057540893555,51.64984893798828,48.94270324707031,49.83544158935547,52.25236511230469,49.88526916503906,50.54435348510742,53.27667999267578,5,5,30.000001907348633,26.3157901763916,4.761904716491699,0,4.761904716491699,4.761904716491699,0,0,9.090909004211426,4.761904716491699,5,0,0,0,5,0,15.000000953674316,0,0,0,50,25,130.68434143066406,137438953472,0,24752865280,0
200,1771522098311,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.14057540893555,51.64984893798828,48.94270324707031,49.83544158935547,52.25236511230469,49.88526916503906,50.54435348510742,53.27667999267578,10,5.263157844543457,15.789472579956055,30.000001907348633,0,0,0,0,4.761904716491699,0,5,9.523809432983398,0,0,4.761904716491699,0,0,5,5,9.523809432983398,0,4.761904716491699,30.000001907348633,60.000003814697266,130.37510681152344,137438953472,0,24750227456,0
209,1771522098512,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.14057540893555,51.64984893798828,48.94270324707031,49.83544158935547,52.25236511230469,49.88526916503906,50.54435348510742,53.27667999267578,15.000000953674316,10,30.000001907348633,25,0,0,4.761904716491699,5,5.263157844543457,5,0,0,14.285715103149414,5,4.761904716491699,0,4.761904716491699,5,10,5.263157844543457,10,0,31.57894515991211,42.105262756347656,130.37510681152344,137438953472,0,24756289536,0
209,1771522098722,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.14057540893555,51.64984893798828,48.94270324707031,49.83544158935547,52.25236511230469,49.88526916503906,50.54435348510742,53.27667999267578,4.761904716491699,5,15.000000953674316,25,0,0,0,0,4.545454502105713,9.090909004211426,0,0,0,0,4.761904716491699,4.545454502105713,0,4.545454502105713,5,9.090909004211426,4.545454502105713,4.761904716491699,55,33.333335876464844,130.37510681152344,137438953472,0,24747769856,0
205,1771522098932,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.478668212890625,52.3365364074707,49.40378952026367,50.160552978515625,52.23509216308594,49.9351806640625,50.67134475708008,53.3448486328125,20,9.523809432983398,14.285715103149414,28.571430206298828,0,4.761904716491699,0,0,0,4.761904716491699,4.761904716491699,0,4.761904716491699,4.761904716491699,0,4.545454502105713,0,0,4.761904716491699,5,0,4.545454502105713,57.142860412597656,30.000001907348633,130.37510681152344,137438953472,0,24755879936,0
205,1771522099137,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.478668212890625,52.3365364074707,49.40378952026367,50.160552978515625,52.23509216308594,49.9351806640625,50.67134475708008,53.3448486328125,9.523809432983398,5,25,19.047618865966797,0,4.545454502105713,0,0,4.761904716491699,0,0,4.761904716491699,5,0,0,0,5,4.761904716491699,5,28.571430206298828,4.761904716491699,0,36.842105865478516,35,130.37510681152344,137438953472,0,25141084160,0
