Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771508320272,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.38275146484375,49.172183990478516,46.37380599975586,46.61332321166992,48.885826110839844,45.974937438964844,46.64860916137695,48.86116409301758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,24.637374877929688,137438953472,0,23641866240,0
199,1771508320272,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.38275146484375,49.172183990478516,46.37380599975586,46.61332321166992,48.885826110839844,45.974937438964844,46.64860916137695,48.86116409301758,0,0,0,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,100,100,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,24.637374877929688,137438953472,0,23641866240,0
199,1771508320472,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.38275146484375,49.172183990478516,46.37380599975586,46.61332321166992,48.885826110839844,45.974937438964844,46.64860916137695,48.86116409301758,10,15.000000953674316,0,0,4.761904716491699,0,0,0,9.090909004211426,0,0,0,0,15.000000953674316,89.47368621826172,10.526315689086914,19.047618865966797,0,0,0,0,0,0,0,26.75087547302246,137438953472,0,23641866240,0
204,1771508320672,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.38275146484375,49.172183990478516,46.37380599975586,46.61332321166992,48.885826110839844,45.974937438964844,46.64860916137695,48.86116409301758,10,5,4.761904716491699,0,0,0,0,0,5,0,0,0,0,75,40,33.333335876464844,5.263157844543457,5,5,0,4.761904716491699,0,5,0,26.75087547302246,137438953472,0,23641866240,0
200,1771508320877,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.464839935302734,49.22673416137695,46.435325622558594,46.64949035644531,49.02073287963867,46.18883514404297,46.78945541381836,49.10926055908203,10,5,0,0,4.761904716491699,0,0,0,0,0,0,0,9.523809432983398,80,15.000000953674316,5.263157844543457,0,0,0,0,4.761904716491699,0,0,4.761904716491699,26.75087547302246,137438953472,0,27401142272,0
201,1771508321078,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.464839935302734,49.22673416137695,46.435325622558594,46.64949035644531,49.02073287963867,46.18883514404297,46.78945541381836,49.10926055908203,10.526315689086914,9.523809432983398,5,4.761904716491699,0,0,0,0,10,14.285715103149414,4.761904716491699,0,0,52.6315803527832,30.000001907348633,23.809524536132813,9.523809432983398,5,0,5,0,0,0,4.761904716491699,26.75087547302246,137438953472,0,27959394304,0
209,1771508321279,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.464839935302734,49.22673416137695,46.435325622558594,46.64949035644531,49.02073287963867,46.18883514404297,46.78945541381836,49.10926055908203,5,0,0,5,0,0,0,0,5,0,10,10,5,40,52.6315803527832,15.789472579956055,10,0,0,9.523809432983398,0,0,5,0,26.75087547302246,137438953472,0,28619882496,0
209,1771508321489,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.464839935302734,49.22673416137695,46.435325622558594,46.64949035644531,49.02073287963867,46.18883514404297,46.78945541381836,49.10926055908203,13.636363983154297,9.090909004211426,0,4.761904716491699,0,0,0,0,14.285715103149414,9.090909004211426,9.523809432983398,4.545454502105713,4.761904716491699,42.85714340209961,47.619049072265625,25,9.523809432983398,4.761904716491699,4.545454502105713,0,5,4.761904716491699,0,0,72.24041748046875,137438953472,0,28619882496,0
199,1771508321699,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.464839935302734,49.22673416137695,46.435325622558594,46.64949035644531,49.02073287963867,46.18883514404297,46.78945541381836,49.10926055908203,10,15.000000953674316,4.761904716491699,0,4.545454502105713,8.69565200805664,9.090909004211426,4.545454502105713,9.090909004211426,4.761904716491699,0,5,9.523809432983398,40,47.619049072265625,28.571430206298828,9.523809432983398,23.809524536132813,4.761904716491699,14.285715103149414,4.545454502105713,4.545454502105713,4.545454502105713,0,72.24041748046875,137438953472,0,28619882496,0
209,1771508321899,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.86895751953125,50.15339279174805,47.40953063964844,47.8223876953125,50.89752197265625,48.30662155151367,48.71694564819336,51.18657684326172,14.285715103149414,10,4.761904716491699,0,0,0,0,4.761904716491699,0,10,0,5,5,63.15789031982422,42.105262756347656,15.789472579956055,15.000000953674316,9.523809432983398,0,0,0,0,5,0,72.24041748046875,137438953472,0,28536864768,0
