Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771503281989,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.3632926940918,45.83571243286133,43.402584075927734,43.50532913208008,45.808616638183594,43.02582931518555,43.74952697753906,45.79018020629883,100,100,0,0,50,0,0,0,0,0,0,0,0,100,NaN,0,0,0,NaN,0,0,0,0,0,25.392620086669922,137438953472,0,23463329792,0
204,1771503281989,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.3632926940918,45.83571243286133,43.402584075927734,43.50532913208008,45.808616638183594,43.02582931518555,43.74952697753906,45.79018020629883,NaN,100,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,0,0,0,NaN,25.392620086669922,137438953472,0,23463329792,0
207,1771503282193,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.3632926940918,45.83571243286133,43.402584075927734,43.50532913208008,45.808616638183594,43.02582931518555,43.74952697753906,45.79018020629883,95.23809814453125,10,0,0,0,0,0,0,0,0,0,0,5,90.47618865966797,10,5.263157844543457,0,0,0,0,0,0,0,0,25.392620086669922,137438953472,0,23463329792,0
209,1771503282401,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.3632926940918,45.83571243286133,43.402584075927734,43.50532913208008,45.808616638183594,43.02582931518555,43.74952697753906,45.79018020629883,23.809524536132813,40,0,0,0,4.761904716491699,0,0,0,4.545454502105713,0,4.761904716491699,42.85714340209961,70,59.09090805053711,23.809524536132813,20,19.047618865966797,4.545454502105713,0,0,0,0,0,29.598913192749023,137438953472,0,23463329792,0
202,1771503282611,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.3632926940918,45.83571243286133,43.402584075927734,43.50532913208008,45.808616638183594,43.02582931518555,43.74952697753906,45.79018020629883,38.095237731933594,47.619049072265625,0,0,4.761904716491699,0,0,0,0,0,4.545454502105713,0,20,81.81818389892578,20,10,0,28.571430206298828,0,0,0,0,4.545454502105713,0,29.598913192749023,137438953472,0,26921271296,0
209,1771503282813,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.3632926940918,45.83571243286133,43.402584075927734,43.50532913208008,45.808616638183594,43.02582931518555,43.74952697753906,45.79018020629883,45,30.000001907348633,9.090909004211426,0,9.523809432983398,4.761904716491699,0,0,9.523809432983398,9.523809432983398,5,0,28.571430206298828,31.57894515991211,28.571430206298828,38.095237731933594,20,25,0,0,5,5,0,9.523809432983398,29.598913192749023,137438953472,0,27888451584,0
199,1771503283023,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.55842208862305,46.047393798828125,43.575191497802734,43.69877243041992,46.13711166381836,43.558048248291016,44.39942169189453,46.477996826171875,57.142860412597656,28.571430206298828,0,0,0,0,8.69565200805664,0,4.761904716491699,4.761904716491699,0,5,23.809524536132813,55,15.789472579956055,33.333335876464844,31.81818199157715,19.047618865966797,4.545454502105713,4.761904716491699,0,4.761904716491699,4.545454502105713,0,29.598913192749023,137438953472,0,28153626624,0
203,1771503283223,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.55842208862305,46.047393798828125,43.575191497802734,43.69877243041992,46.13711166381836,43.558048248291016,44.39942169189453,46.477996826171875,50,36.842105865478516,0,0,4.761904716491699,0,0,4.761904716491699,15.000000953674316,10,10.526315689086914,4.761904716491699,21.052631378173828,47.619049072265625,30.000001907348633,10.526315689086914,5.263157844543457,15.000000953674316,0,4.761904716491699,0,4.761904716491699,0,5.263157844543457,29.598913192749023,137438953472,0,28137619456,0
209,1771503283428,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.55842208862305,46.047393798828125,43.575191497802734,43.69877243041992,46.13711166381836,43.558048248291016,44.39942169189453,46.477996826171875,40,33.333335876464844,0,4.761904716491699,0,0,0,0,5.263157844543457,5.263157844543457,9.523809432983398,10,19.047618865966797,27.77777862548828,40,10,25,20,4.761904716491699,0,4.761904716491699,0,0,4.761904716491699,99.16285705566406,137438953472,0,28137619456,0
207,1771503283638,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.55842208862305,46.047393798828125,43.575191497802734,43.69877243041992,46.13711166381836,43.558048248291016,44.39942169189453,46.477996826171875,60.000003814697266,33.333335876464844,0,0,4.761904716491699,0,0,0,9.090909004211426,9.090909004211426,4.761904716491699,4.761904716491699,19.047618865966797,47.619049072265625,26.3157901763916,22.72727394104004,33.333335876464844,20,0,0,0,0,0,0,99.16285705566406,137438953472,0,28129918976,0
