Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771508777419,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.08430862426758,47.85346221923828,44.975948333740234,45.10062026977539,47.31031799316406,44.828765869140625,45.47310256958008,47.43120193481445,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,28.466556549072266,137438953472,0,23627644928,0
202,1771508777419,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.08430862426758,47.85346221923828,44.975948333740234,45.10062026977539,47.31031799316406,44.828765869140625,45.47310256958008,47.43120193481445,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0,100,0,0,NaN,0,0,0,0,0,0,28.466556549072266,137438953472,0,23627644928,0
209,1771508777622,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.08430862426758,47.85346221923828,44.975948333740234,45.10062026977539,47.31031799316406,44.828765869140625,45.47310256958008,47.43120193481445,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,0,0,0,10,90,30.000001907348633,9.523809432983398,0,0,0,0,0,4.761904716491699,0,28.466556549072266,137438953472,0,23627644928,0
209,1771508777832,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.08430862426758,47.85346221923828,44.975948333740234,45.10062026977539,47.31031799316406,44.828765869140625,45.47310256958008,47.43120193481445,9.523809432983398,5,0,4.545454502105713,4.545454502105713,0,0,0,0,0,4.545454502105713,4.761904716491699,4.545454502105713,80.95238494873047,52.38095474243164,19.047618865966797,10,8.69565200805664,4.761904716491699,0,0,4.545454502105713,0,0,28.466556549072266,137438953472,0,23627644928,0
202,1771508778042,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.18268585205078,47.941551208496094,45.06350326538086,45.17536926269531,47.47136688232422,44.915008544921875,45.623146057128906,47.59693908691406,5,14.285715103149414,0,0,0,0,0,0,9.090909004211426,0,0,0,9.523809432983398,80,14.285715103149414,0,0,0,0,0,0,0,0,0,28.466556549072266,137438953472,0,27665203200,0
201,1771508778244,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.18268585205078,47.941551208496094,45.06350326538086,45.17536926269531,47.47136688232422,44.915008544921875,45.623146057128906,47.59693908691406,9.523809432983398,5,4.761904716491699,0,0,0,4.761904716491699,0,5.263157844543457,5,5.263157844543457,0,0,45,30.000001907348633,25,35,5,4.761904716491699,4.761904716491699,0,0,4.761904716491699,0,28.466556549072266,137438953472,0,27933573120,0
206,1771508778446,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.18268585205078,47.941551208496094,45.06350326538086,45.17536926269531,47.47136688232422,44.915008544921875,45.623146057128906,47.59693908691406,10.526315689086914,5,0,0,0,0,0,4.761904716491699,9.523809432983398,4.761904716491699,0,5,5,42.105262756347656,10.526315689086914,25,42.85714340209961,5,0,0,4.761904716491699,10,0,9.090909004211426,60.0423698425293,137438953472,0,27865235456,0
199,1771508778653,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.18268585205078,47.941551208496094,45.06350326538086,45.17536926269531,47.47136688232422,44.915008544921875,45.623146057128906,47.59693908691406,28.571430206298828,25,0,4.761904716491699,4.761904716491699,0,0,0,5,5.263157844543457,9.523809432983398,0,9.523809432983398,55,40,20,15.000000953674316,10,9.523809432983398,4.761904716491699,4.761904716491699,0,5,0,60.0423698425293,137438953472,0,28503801856,0
200,1771508778853,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.18268585205078,47.941551208496094,45.06350326538086,45.17536926269531,47.47136688232422,44.915008544921875,45.623146057128906,47.59693908691406,9.523809432983398,10,4.761904716491699,0,0,0,0,4.761904716491699,9.523809432983398,14.285715103149414,5,9.523809432983398,0,50,42.105262756347656,28.571430206298828,10,0,0,0,0,5,0,0,60.0423698425293,137438953472,0,28506521600,0
199,1771508779053,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.850196838378906,48.67000961303711,45.80564880371094,45.86602020263672,49.206756591796875,46.79641342163086,47.223388671875,49.811031341552734,5.263157844543457,5,0,4.761904716491699,0,0,0,0,0,5,0,10.526315689086914,10,70,23.809524536132813,27.77777862548828,10,9.523809432983398,0,4.761904716491699,0,0,5,0,60.0423698425293,137438953472,0,28507881472,0
