Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771510611056,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.918148040771484,48.88058853149414,46.5339469909668,47.7317008972168,47.5149040222168,44.88386917114258,45.92848205566406,48.29375076293945,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,0,NaN,0,0,0,NaN,0,0,0,24.447813034057617,137438953472,0,21043232768,0
201,1771510611056,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.918148040771484,48.88058853149414,46.5339469909668,47.7317008972168,47.5149040222168,44.88386917114258,45.92848205566406,48.29375076293945,0,0,0,100,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,24.447813034057617,137438953472,0,21043150848,0
209,1771510611258,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.918148040771484,48.88058853149414,46.5339469909668,47.7317008972168,47.5149040222168,44.88386917114258,45.92848205566406,48.29375076293945,15.000000953674316,4.761904716491699,10,95.23809814453125,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,4.761904716491699,24.447813034057617,137438953472,0,21059092480,0
209,1771510611468,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.918148040771484,48.88058853149414,46.5339469909668,47.7317008972168,47.5149040222168,44.88386917114258,45.92848205566406,48.29375076293945,9.523809432983398,5,33.333335876464844,25,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,4.761904716491699,0,4.545454502105713,4.761904716491699,8.69565200805664,0,4.761904716491699,61.904762268066406,35,26.589107513427734,137438953472,0,22426386432,0
204,1771510611678,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.918148040771484,48.88058853149414,46.5339469909668,47.7317008972168,47.5149040222168,44.88386917114258,45.92848205566406,48.29375076293945,10,9.523809432983398,5,5,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,75,28.571430206298828,26.589107513427734,137438953472,0,24399773696,0
201,1771510611883,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.03325653076172,48.88859558105469,46.280128479003906,47.00752258300781,48.1195068359375,45.552249908447266,46.58435821533203,49.33141326904297,5,15.000000953674316,28.571430206298828,19.047618865966797,0,4.761904716491699,0,4.761904716491699,9.523809432983398,13.636363983154297,4.761904716491699,4.761904716491699,10,5,4.761904716491699,0,4.761904716491699,9.090909004211426,9.090909004211426,0,4.761904716491699,0,40,38.095237731933594,26.589107513427734,137438953472,0,25598410752,0
207,1771510612084,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.03325653076172,48.88859558105469,46.280128479003906,47.00752258300781,48.1195068359375,45.552249908447266,46.58435821533203,49.33141326904297,9.523809432983398,9.523809432983398,20,25,0,0,0,0,0,0,5,0,10,0,4.761904716491699,4.761904716491699,9.523809432983398,0,15.789472579956055,4.761904716491699,5,0,50,75,26.589107513427734,137438953472,0,25598410752,0
201,1771510612292,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.03325653076172,48.88859558105469,46.280128479003906,47.00752258300781,48.1195068359375,45.552249908447266,46.58435821533203,49.33141326904297,23.809524536132813,5.263157844543457,31.57894515991211,10,0,0,0,0,4.761904716491699,5,0,0,9.523809432983398,0,0,4.761904716491699,0,10,9.523809432983398,5,5,4.761904716491699,40,36.842105865478516,91.35205841064453,137438953472,0,25598410752,0
199,1771510612493,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.03325653076172,48.88859558105469,46.280128479003906,47.00752258300781,48.1195068359375,45.552249908447266,46.58435821533203,49.33141326904297,21.052631378173828,23.809524536132813,26.3157901763916,20,4.761904716491699,0,0,0,0,0,0,0,5.263157844543457,9.090909004211426,5,0,0,10.526315689086914,9.523809432983398,9.523809432983398,4.761904716491699,5,40,45,91.35205841064453,137438953472,0,25598410752,0
199,1771510612693,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.03325653076172,48.88859558105469,46.280128479003906,47.00752258300781,48.1195068359375,45.552249908447266,46.58435821533203,49.33141326904297,5.263157844543457,5.263157844543457,40,5.263157844543457,5,0,5,0,5,10,5,4.761904716491699,4.761904716491699,0,0,5,0,9.523809432983398,0,10.526315689086914,5,5,42.105262756347656,38.095237731933594,91.35205841064453,137438953472,0,25915473920,0
