Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
202,1770925805994,4,4,4,4,4,4,4,4,4,4,4,4,4,4,77.51937103271484,79.98625183105469,78.578125,78.140625,80.08757781982422,81.66372680664063,80.5220947265625,78.11299896240234,78.1836929321289,79.6166763305664,76.02513885498047,74.70146179199219,100,100,90.90909576416016,90.47618865966797,90.47618865966797,90.90909576416016,100,100,85.71428680419922,90,95,90,90,90,22.116931915283203,38654705664,0,20152352768,0
204,1770925806196,4,4,4,4,4,4,4,4,4,4,4,4,4,4,77.51937103271484,79.98625183105469,78.578125,78.140625,80.08757781982422,81.66372680664063,80.5220947265625,78.11299896240234,78.1836929321289,79.6166763305664,76.02513885498047,74.70146179199219,100,100,89.47368621826172,90,90,89.47368621826172,100,100,90,90.47618865966797,90,94.73684692382813,95.23809814453125,90,22.116931915283203,38654705664,0,20150157312,0
204,1770925806401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88.99850463867188,92.86827087402344,80.625,80.4375,91.53240966796875,91.8900146484375,91.68620300292969,90.65093994140625,89.70870208740234,93.07442474365234,87.92280578613281,85.60689544677734,100,100,90,90,90,85.71428680419922,100,100,90,95.23809814453125,90,90.47618865966797,90.47618865966797,90,22.116931915283203,38654705664,0,19903184896,0
204,1770925806607,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88.99850463867188,92.86827087402344,80.625,80.4375,91.53240966796875,91.8900146484375,91.68620300292969,90.65093994140625,89.70870208740234,93.07442474365234,87.92280578613281,85.60689544677734,100,100,90,90.47618865966797,90,95,95.45454406738281,100,90,94.73684692382813,95,95,95,90.47618865966797,22.116931915283203,38654705664,0,19903184896,0
204,1770925806812,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88.99850463867188,92.86827087402344,80.625,80.4375,91.53240966796875,91.8900146484375,91.68620300292969,90.65093994140625,89.70870208740234,93.07442474365234,87.92280578613281,85.60689544677734,100,95.23809814453125,86.36363983154297,85,85.71428680419922,85.71428680419922,94.73684692382813,90.47618865966797,90.47618865966797,90.47618865966797,90.47618865966797,90.47618865966797,94.73684692382813,90,73.29993438720703,38654705664,0,19903184896,0
204,1770925807017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88.99850463867188,92.86827087402344,80.625,80.4375,91.53240966796875,91.8900146484375,91.68620300292969,90.65093994140625,89.70870208740234,93.07442474365234,87.92280578613281,85.60689544677734,95.23809814453125,95,90,90,90,90.47618865966797,95,89.47368621826172,90.47618865966797,95,90.47618865966797,95,95.23809814453125,85.71428680419922,73.29993438720703,38654705664,0,19815759872,0
204,1770925807221,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88.99850463867188,92.86827087402344,80.625,80.4375,91.53240966796875,91.8900146484375,91.68620300292969,90.65093994140625,89.70870208740234,93.07442474365234,87.92280578613281,85.60689544677734,95.23809814453125,95,90,90.47618865966797,90.47618865966797,89.47368621826172,90.47618865966797,85.71428680419922,89.47368621826172,90,95,90.47618865966797,95,90.47618865966797,73.29993438720703,38654705664,0,19694960640,0
201,1770925807427,4,4,4,4,4,4,4,4,4,4,4,4,4,4,90.7832260131836,94.9139175415039,81.78125,81.578125,93.42890930175781,93.71366119384766,93.4848403930664,92.6634521484375,91.49799346923828,94.9427490234375,89.9204330444336,87.62187957763672,100,95.23809814453125,95,94.73684692382813,95,95.23809814453125,90,90,85.71428680419922,90.47618865966797,90,90,85.71428680419922,94.73684692382813,73.29993438720703,38654705664,0,19701121024,0
204,1770925807628,4,4,4,4,4,4,4,4,4,4,4,4,4,4,90.7832260131836,94.9139175415039,81.78125,81.578125,93.42890930175781,93.71366119384766,93.4848403930664,92.6634521484375,91.49799346923828,94.9427490234375,89.9204330444336,87.62187957763672,95.23809814453125,95,90,90.47618865966797,90.47618865966797,90,90.47618865966797,90,90,90,85.71428680419922,89.47368621826172,90,90.47618865966797,73.29993438720703,38654705664,0,19707150336,0
204,1770925807833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,90.7832260131836,94.9139175415039,81.78125,81.578125,93.42890930175781,93.71366119384766,93.4848403930664,92.6634521484375,91.49799346923828,94.9427490234375,89.9204330444336,87.62187957763672,95,90,90.47618865966797,90.47618865966797,90,90,89.47368621826172,85,90,90,90,86.36363983154297,90,94.73684692382813,74.19148254394531,38654705664,0,19711852544,0
204,1770925808038,4,4,4,4,4,4,4,4,4,4,4,4,4,4,90.7832260131836,94.9139175415039,81.78125,81.578125,93.42890930175781,93.71366119384766,93.4848403930664,92.6634521484375,91.49799346923828,94.9427490234375,89.9204330444336,87.62187957763672,95,90,95.23809814453125,95,95,95.23809814453125,85.71428680419922,80.95238494873047,90.47618865966797,90.47618865966797,90,90,90.47618865966797,90.47618865966797,74.19148254394531,38654705664,0,19712425984,0
204,1770925808243,4,4,4,4,4,4,4,4,4,4,4,4,4,4,90.7832260131836,94.9139175415039,81.78125,81.578125,93.42890930175781,93.71366119384766,93.4848403930664,92.6634521484375,91.49799346923828,94.9427490234375,89.9204330444336,87.62187957763672,80.95238494873047,80.95238494873047,94.73684692382813,90,90.47618865966797,94.73684692382813,80,78.94737243652344,85,85.71428680419922,85.71428680419922,90,90,90.47618865966797,74.19148254394531,38654705664,0,19629998080,0
205,1770925808448,4,4,4,4,4,4,4,4,4,4,4,4,4,4,91.52174377441406,95.91907501220703,82.921875,82.953125,94.17847442626953,94.62306213378906,94.2919921875,93.43978118896484,92.12413024902344,95.86398315429688,90.5822525024414,88.4261245727539,85,85,90,95,94.73684692382813,90,85,80.95238494873047,90,90,94.73684692382813,90.47618865966797,95,95,74.19148254394531,38654705664,0,19622068224,0
205,1770925808653,4,4,4,4,4,4,4,4,4,4,4,4,4,4,91.52174377441406,95.91907501220703,82.921875,82.953125,94.17847442626953,94.62306213378906,94.2919921875,93.43978118896484,92.12413024902344,95.86398315429688,90.5822525024414,88.4261245727539,85,85,86.36363983154297,86.36363983154297,85.71428680419922,85.71428680419922,80,80,86.36363983154297,95,90.47618865966797,95,90.47618865966797,85.71428680419922,74.19148254394531,38654705664,0,19622035456,0
201,1770925808859,4,4,4,4,4,4,4,4,4,4,4,4,4,4,91.52174377441406,95.91907501220703,82.921875,82.953125,94.17847442626953,94.62306213378906,94.2919921875,93.43978118896484,92.12413024902344,95.86398315429688,90.5822525024414,88.4261245727539,85,85,90,89.47368621826172,90,90.47618865966797,85,80,95,95,95.23809814453125,90,95,90,74.10395050048828,38654705664,0,19852754944,0
205,1770925809060,4,4,4,4,4,4,4,4,4,4,4,4,4,4,91.52174377441406,95.91907501220703,82.921875,82.953125,94.17847442626953,94.62306213378906,94.2919921875,93.43978118896484,92.12413024902344,95.86398315429688,90.5822525024414,88.4261245727539,85,85,89.47368621826172,90,90,89.47368621826172,80,80,90,90,90,94.73684692382813,90,89.47368621826172,74.10395050048828,38654705664,0,19971735552,0
203,1770925809266,4,4,4,4,4,4,4,4,4,4,4,4,4,4,91.52174377441406,95.91907501220703,82.921875,82.953125,94.17847442626953,94.62306213378906,94.2919921875,93.43978118896484,92.12413024902344,95.86398315429688,90.5822525024414,88.4261245727539,85,80,85.71428680419922,90,85.71428680419922,86.36363983154297,85,80,94.73684692382813,95,94.73684692382813,90.47618865966797,90,86.36363983154297,74.10395050048828,38654705664,0,19977224192,0
205,1770925809470,4,4,4,4,4,4,4,4,4,4,4,4,4,4,93.11732482910156,97.39360809326172,84.28125,84.328125,95.9144058227539,96.36467742919922,96.07963562011719,95.19009399414063,93.94770812988281,97.3607177734375,92.2054214477539,89.671630859375,85.71428680419922,89.47368621826172,90.47618865966797,90.47618865966797,95,90,85,85,90.90909576416016,90.47618865966797,90.47618865966797,90.47618865966797,95.23809814453125,90,74.10395050048828,38654705664,0,19977240576,0
201,1770925809676,4,4,4,4,4,4,4,4,4,4,4,4,4,4,93.11732482910156,97.39360809326172,84.28125,84.328125,95.9144058227539,96.36467742919922,96.07963562011719,95.19009399414063,93.94770812988281,97.3607177734375,92.2054214477539,89.671630859375,84.21052551269531,80.95238494873047,94.73684692382813,90,90,95,80.95238494873047,76.19047546386719,89.47368621826172,90,90,90,85.71428680419922,95,74.10395050048828,38654705664,0,19977076736,0
