Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771517492960,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,46.955074310302734,47.71124267578125,44.93341064453125,45.10030746459961,46.96871566772461,44.397918701171875,45.29086685180664,47.29182434082031,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.621665954589844,137438953472,0,20354531328,0
209,1771517492961,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,46.955074310302734,47.71124267578125,44.93341064453125,45.10030746459961,46.96871566772461,44.397918701171875,45.29086685180664,47.29182434082031,0,0,NaN,NaN,0,0,0,0,NaN,100,NaN,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN,NaN,24.621665954589844,137438953472,0,20356382720,0
206,1771517493171,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,46.955074310302734,47.71124267578125,44.93341064453125,45.10030746459961,46.96871566772461,44.397918701171875,45.29086685180664,47.29182434082031,9.523809432983398,9.090909004211426,0,0,0,0,0,0,42.85714340209961,81.81818389892578,27.272727966308594,4.761904716491699,19.047618865966797,10,0,0,0,4.761904716491699,0,0,0,0,0,0,24.621665954589844,137438953472,0,22058319872,0
209,1771517493377,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,46.955074310302734,47.71124267578125,44.93341064453125,45.10030746459961,46.96871566772461,44.397918701171875,45.29086685180664,47.29182434082031,14.285715103149414,5,0,0,0,0,0,0,85,35,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,0,31.52582359313965,137438953472,0,24262426624,0
199,1771517493586,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,46.955074310302734,47.71124267578125,44.93341064453125,45.10030746459961,46.96871566772461,44.397918701171875,45.29086685180664,47.29182434082031,30.000001907348633,10,0,0,0,0,0,0,55,20,10,36.3636360168457,0,13.636363983154297,5,0,0,0,0,0,0,0,0,0,31.52582359313965,137438953472,0,24761483264,0
209,1771517493786,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,46.955074310302734,47.71124267578125,44.93341064453125,45.10030746459961,46.96871566772461,44.397918701171875,45.29086685180664,47.29182434082031,60.000003814697266,9.523809432983398,0,0,0,0,0,0,45,45,10,5.263157844543457,5,5.263157844543457,0,0,5,5,0,0,0,0,0,0,31.52582359313965,137438953472,0,24760074240,0
203,1771517493996,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.0797119140625,47.87941360473633,45.0687370300293,45.21905517578125,47.90339279174805,45.347225189208984,46.15211868286133,48.23214340209961,4.761904716491699,4.761904716491699,0,0,0,0,0,0,35,61.904762268066406,25,9.090909004211426,4.761904716491699,4.761904716491699,0,4.545454502105713,4.545454502105713,0,0,4.761904716491699,0,0,0,0,31.52582359313965,137438953472,0,24763645952,0
202,1771517494200,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.0797119140625,47.87941360473633,45.0687370300293,45.21905517578125,47.90339279174805,45.347225189208984,46.15211868286133,48.23214340209961,10,0,0,0,0,0,0,0,55,36.842105865478516,30.000001907348633,5,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,31.52582359313965,137438953472,0,24697028608,0
199,1771517494403,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.0797119140625,47.87941360473633,45.0687370300293,45.21905517578125,47.90339279174805,45.347225189208984,46.15211868286133,48.23214340209961,15.000000953674316,14.285715103149414,0,0,0,0,0,0,45,61.904762268066406,15.000000953674316,5.263157844543457,35,4.761904716491699,5,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,135.31204223632813,137438953472,0,24677056512,0
204,1771517494603,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.0797119140625,47.87941360473633,45.0687370300293,45.21905517578125,47.90339279174805,45.347225189208984,46.15211868286133,48.23214340209961,15.000000953674316,15.000000953674316,0,0,5,0,0,0,42.105262756347656,42.105262756347656,45,14.285715103149414,5,10,10,0,0,15.000000953674316,0,0,0,0,0,0,135.31204223632813,137438953472,0,24676335616,0
200,1771517494807,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.0797119140625,47.87941360473633,45.0687370300293,45.21905517578125,47.90339279174805,45.347225189208984,46.15211868286133,48.23214340209961,5,4.761904716491699,0,0,0,0,0,0,65,30.000001907348633,15.789472579956055,5,5,0,0,0,15.000000953674316,0,0,0,0,0,0,0,135.31204223632813,137438953472,0,24682577920,0
209,1771517495007,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.16236877441406,48.7542610168457,46.00584030151367,46.193077087402344,49.87345886230469,47.512088775634766,47.90391159057617,50.38987731933594,5,5.263157844543457,0,0,0,0,0,0,35,57.894737243652344,25,20,4.761904716491699,0,5,0,4.761904716491699,0,0,0,4.761904716491699,0,0,0,135.31204223632813,137438953472,0,24680726528,0
200,1771517495217,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.16236877441406,48.7542610168457,46.00584030151367,46.193077087402344,49.87345886230469,47.512088775634766,47.90391159057617,50.38987731933594,5,4.761904716491699,0,0,0,0,0,0,71.42857360839844,18.18181800842285,14.285715103149414,23.809524536132813,4.761904716491699,4.545454502105713,10,0,0,0,0,0,0,0,0,0,135.31204223632813,137438953472,0,24666652672,0
199,1771517495417,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.16236877441406,48.7542610168457,46.00584030151367,46.193077087402344,49.87345886230469,47.512088775634766,47.90391159057617,50.38987731933594,5,5,0,0,0,0,0,0,73.68421173095703,31.57894515991211,21.052631378173828,0,0,0,4.761904716491699,4.761904716491699,0,4.761904716491699,0,0,0,0,4.761904716491699,0,148.6224365234375,137438953472,0,24655822848,0
201,1771517495617,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.16236877441406,48.7542610168457,46.00584030151367,46.193077087402344,49.87345886230469,47.512088775634766,47.90391159057617,50.38987731933594,13.636363983154297,5,0,0,0,0,0,0,30.000001907348633,63.15789031982422,25,23.809524536132813,5,4.761904716491699,5,0,0,0,0,0,0,0,0,0,148.6224365234375,137438953472,0,24649515008,0
200,1771517495819,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.16236877441406,48.7542610168457,46.00584030151367,46.193077087402344,49.87345886230469,47.512088775634766,47.90391159057617,50.38987731933594,5,0,0,0,0,0,0,0,31.57894515991211,65,10.526315689086914,10.526315689086914,0,10.526315689086914,0,0,0,0,0,0,0,0,0,0,148.6224365234375,137438953472,0,24649728000,0
209,1771517496020,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.35111618041992,49.11933898925781,46.28887176513672,46.511192321777344,50.31574630737305,47.955535888671875,48.42593002319336,50.84259796142578,5.263157844543457,5,0,0,0,0,0,0,33.333335876464844,70,20,9.523809432983398,4.761904716491699,4.761904716491699,0,5,0,0,5,0,0,0,0,0,148.6224365234375,137438953472,0,24649957376,0
200,1771517496230,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.35111618041992,49.11933898925781,46.28887176513672,46.511192321777344,50.31574630737305,47.955535888671875,48.42593002319336,50.84259796142578,4.761904716491699,4.761904716491699,0,0,0,0,0,0,57.894737243652344,45,20,5,0,5,0,0,0,4.545454502105713,0,0,0,0,0,0,148.6224365234375,137438953472,0,24649973760,0
199,1771517496430,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.35111618041992,49.11933898925781,46.28887176513672,46.511192321777344,50.31574630737305,47.955535888671875,48.42593002319336,50.84259796142578,10,10,0,0,0,0,0,0,60.000003814697266,20,25,19.047618865966797,4.761904716491699,0,5,0,4.761904716491699,0,0,0,0,0,0,0,148.7532196044922,137438953472,0,24655331328,0
203,1771517496630,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.35111618041992,49.11933898925781,46.28887176513672,46.511192321777344,50.31574630737305,47.955535888671875,48.42593002319336,50.84259796142578,5,5,0,0,0,0,0,0,50,42.105262756347656,30.000001907348633,5.263157844543457,0,14.285715103149414,9.523809432983398,9.090909004211426,5.263157844543457,0,0,0,0,0,0,0,148.7532196044922,137438953472,0,24650235904,0
202,1771517496834,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.35111618041992,49.11933898925781,46.28887176513672,46.511192321777344,50.31574630737305,47.955535888671875,48.42593002319336,50.84259796142578,5,5,0,0,0,0,0,0,40,35,40,5,5,5,0,0,0,4.761904716491699,0,5,0,0,0,0,148.7532196044922,137438953472,0,24654659584,0
203,1771517497036,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.72233200073242,49.34186553955078,46.55015182495117,46.839508056640625,50.532962799072266,48.130462646484375,48.63745880126953,50.988243103027344,0,5,0,0,0,0,0,0,42.105262756347656,60.000003814697266,15.789472579956055,5,0,0,5,5,0,0,0,0,0,0,0,0,148.7532196044922,137438953472,0,24655495168,0
201,1771517497240,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.72233200073242,49.34186553955078,46.55015182495117,46.839508056640625,50.532962799072266,48.130462646484375,48.63745880126953,50.988243103027344,5,4.761904716491699,0,0,0,0,0,0,55,25,23.809524536132813,14.285715103149414,4.761904716491699,0,5,0,0,0,0,5,0,0,0,0,148.7532196044922,137438953472,0,24653217792,0
203,1771517497441,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.72233200073242,49.34186553955078,46.55015182495117,46.839508056640625,50.532962799072266,48.130462646484375,48.63745880126953,50.988243103027344,5,0,0,0,0,4.761904716491699,0,0,35,35,40,0,0,0,0,0,5,4.761904716491699,0,9.090909004211426,0,0,0,0,148.5963897705078,137438953472,0,24653217792,0
199,1771517497645,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.72233200073242,49.34186553955078,46.55015182495117,46.839508056640625,50.532962799072266,48.130462646484375,48.63745880126953,50.988243103027344,9.523809432983398,5,0,0,0,0,0,0,40,36.842105865478516,25,22.72727394104004,0,9.523809432983398,9.090909004211426,0,0,0,0,0,10,0,0,0,148.5963897705078,137438953472,0,24658837504,0
209,1771517497845,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,48.72233200073242,49.34186553955078,46.55015182495117,46.839508056640625,50.532962799072266,48.130462646484375,48.63745880126953,50.988243103027344,10,5,0,0,0,0,4.761904716491699,0,31.57894515991211,55,20,11.111111640930176,5,5,0,5,5,0,4.761904716491699,0,0,0,0,0,148.5963897705078,137438953472,0,24657838080,0
209,1771517498055,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.094871520996094,49.564605712890625,46.85921859741211,47.1246337890625,51.02557373046875,48.463226318359375,48.914188385009766,51.187477111816406,4.761904716491699,4.761904716491699,0,0,0,0,0,0,60.000003814697266,42.85714340209961,15.000000953674316,9.090909004211426,0,0,0,9.090909004211426,0,0,0,0,0,0,0,0,148.5963897705078,137438953472,0,24658182144,0
200,1771517498265,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.094871520996094,49.564605712890625,46.85921859741211,47.1246337890625,51.02557373046875,48.463226318359375,48.914188385009766,51.187477111816406,4.761904716491699,4.761904716491699,0,0,0,0,0,0,45.45454788208008,30.000001907348633,28.571430206298828,19.047618865966797,4.761904716491699,5,0,5,4.545454502105713,4.761904716491699,0,0,0,0,0,0,148.5963897705078,137438953472,0,24658182144,0
