Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771506014444,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.72941970825195,62.142822265625,54.4644775390625,50.638641357421875,49.129966735839844,45.833351135253906,45.71696090698242,48.850181579589844,NaN,66.66667175292969,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,0,0,100,100,0,0,NaN,0,26.309341430664063,137438953472,0,23635099648,0
202,1771506014444,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.72941970825195,62.142822265625,54.4644775390625,50.638641357421875,49.129966735839844,45.833351135253906,45.71696090698242,48.850181579589844,100,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,0,0,0,0,0,NaN,0,NaN,0,0,0,26.309341430664063,137438953472,0,23634329600,0
199,1771506014647,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.72941970825195,62.142822265625,54.4644775390625,50.638641357421875,49.129966735839844,45.833351135253906,45.71696090698242,48.850181579589844,10,5,0,0,0,0,0,4.761904716491699,0,4.545454502105713,0,0,4.761904716491699,0,0,0,0,5,66.66667175292969,45,38.095237731933594,31.57894515991211,4.761904716491699,0,26.309341430664063,137438953472,0,25342115840,0
200,1771506014847,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.72941970825195,62.142822265625,54.4644775390625,50.638641357421875,49.129966735839844,45.833351135253906,45.71696090698242,48.850181579589844,5.263157844543457,10,4.761904716491699,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,84.21052551269531,36.842105865478516,5,4.761904716491699,0,0,26.309341430664063,137438953472,0,27557445632,0
199,1771506015047,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,53.74905014038086,58.17076873779297,52.550113677978516,51.20161819458008,52.59925842285156,48.33285903930664,47.29991149902344,50.44563674926758,5,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,75,20,10.526315689086914,15.000000953674316,5.263157844543457,0,26.309341430664063,137438953472,0,27713536000,0
202,1771506015247,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,53.74905014038086,58.17076873779297,52.550113677978516,51.20161819458008,52.59925842285156,48.33285903930664,47.29991149902344,50.44563674926758,5,5,0,0,0,0,0,0,5,0,0,0,9.523809432983398,0,0,0,0,5,45,26.3157901763916,45,5.263157844543457,5,0,26.309341430664063,137438953472,0,28031516672,0
205,1771506015450,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,53.74905014038086,58.17076873779297,52.550113677978516,51.20161819458008,52.59925842285156,48.33285903930664,47.29991149902344,50.44563674926758,5,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.105262756347656,28.571430206298828,36.842105865478516,19.047618865966797,0,0,92.85456085205078,137438953472,0,28037038080,0
203,1771506015655,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,53.74905014038086,58.17076873779297,52.550113677978516,51.20161819458008,52.59925842285156,48.33285903930664,47.29991149902344,50.44563674926758,5,10,5,0,0,0,0,0,5,5,0,0,4.761904716491699,4.545454502105713,0,0,0,5,61.904762268066406,35,14.285715103149414,0,4.761904716491699,4.761904716491699,92.85456085205078,137438953472,0,27968798720,0
199,1771506015859,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,53.74905014038086,58.17076873779297,52.550113677978516,51.20161819458008,52.59925842285156,48.33285903930664,47.29991149902344,50.44563674926758,33.333335876464844,15.000000953674316,0,5,0,0,0,0,0,0,0,0,5.263157844543457,5,0,0,0,9.090909004211426,70,10.526315689086914,25,9.090909004211426,4.761904716491699,4.761904716491699,92.85456085205078,137438953472,0,27955462144,0
209,1771506016059,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,54.97279739379883,58.81989669799805,53.47623825073242,52.348663330078125,54.351383209228516,50.58150100708008,49.75547409057617,52.94508743286133,5,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,36.842105865478516,40,25,10.526315689086914,0,0,92.85456085205078,137438953472,0,27963162624,0
203,1771506016269,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,54.97279739379883,58.81989669799805,53.47623825073242,52.348663330078125,54.351383209228516,50.58150100708008,49.75547409057617,52.94508743286133,4.761904716491699,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,0,0,4.545454502105713,0,0,0,0,0,57.142860412597656,40,23.809524536132813,9.523809432983398,0,0,92.85456085205078,137438953472,0,27958247424,0
205,1771506016473,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,54.97279739379883,58.81989669799805,53.47623825073242,52.348663330078125,54.351383209228516,50.58150100708008,49.75547409057617,52.94508743286133,15.000000953674316,10,9.090909004211426,4.761904716491699,4.545454502105713,0,0,0,4.761904716491699,0,0,0,5,0,0,0,0,0,38.095237731933594,28.571430206298828,47.36842346191406,14.285715103149414,9.090909004211426,5,147.3775634765625,137438953472,0,28591800320,0
199,1771506016678,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,54.97279739379883,58.81989669799805,53.47623825073242,52.348663330078125,54.351383209228516,50.58150100708008,49.75547409057617,52.94508743286133,5,4.761904716491699,0,4.761904716491699,0,0,0,0,0,4.545454502105713,0,0,0,0,0,4.761904716491699,0,4.761904716491699,50,26.3157901763916,35,20,0,4.761904716491699,147.3775634765625,137438953472,0,28571058176,0
