Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771506475753,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.644126892089844,49.520992279052734,47.10932922363281,47.61341857910156,48.70692825317383,46.076499938964844,46.681392669677734,49.082218170166016,NaN,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,100,25.48199462890625,137438953472,0,23614144512,0
203,1771506475753,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.644126892089844,49.520992279052734,47.10932922363281,47.61341857910156,48.70692825317383,46.076499938964844,46.681392669677734,49.082218170166016,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,0,NaN,0,100,25.48199462890625,137438953472,0,23615356928,0
201,1771506475957,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.85359573364258,49.57284927368164,47.03753662109375,47.717689514160156,48.814266204833984,46.192359924316406,46.78169631958008,49.33732986450195,5,0,42.85714340209961,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,84.21052551269531,25.48199462890625,137438953472,0,24891523072,0
201,1771506476158,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.85359573364258,49.57284927368164,47.03753662109375,47.717689514160156,48.814266204833984,46.192359924316406,46.78169631958008,49.33732986450195,9.523809432983398,5,5,0,0,0,0,0,0,0,0,0,5.263157844543457,0,0,0,0,0,0,0,0,0,78.94737243652344,47.619049072265625,25.48199462890625,137438953472,0,27206762496,0
209,1771506476360,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.85359573364258,49.57284927368164,47.03753662109375,47.717689514160156,48.814266204833984,46.192359924316406,46.78169631958008,49.33732986450195,5,5,21.052631378173828,10,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,5,4.761904716491699,5,5,0,45,45,48.173851013183594,137438953472,0,27531608064,0
199,1771506476570,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.85359573364258,49.57284927368164,47.03753662109375,47.717689514160156,48.814266204833984,46.192359924316406,46.78169631958008,49.33732986450195,10,14.285715103149414,19.047618865966797,9.090909004211426,0,0,0,0,0,4.761904716491699,0,0,4.761904716491699,0,0,0,0,9.090909004211426,0,9.090909004211426,0,4.761904716491699,71.42857360839844,30.000001907348633,48.173851013183594,137438953472,0,27902558208,0
199,1771506476770,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,49.85359573364258,49.57284927368164,47.03753662109375,47.717689514160156,48.814266204833984,46.192359924316406,46.78169631958008,49.33732986450195,10,10,28.571430206298828,0,4.761904716491699,0,0,0,0,0,0,0,25,0,0,0,0,0,9.523809432983398,0,0,10,36.842105865478516,50,48.173851013183594,137438953472,0,27912585216,0
205,1771506476970,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.39826965332031,50.711830139160156,48.13080596923828,49.081974029541016,50.56732940673828,48.20387268066406,48.82829666137695,51.701881408691406,10,4.761904716491699,47.36842346191406,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,25,45,48.173851013183594,137438953472,0,27843706880,0
208,1771506477175,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.39826965332031,50.711830139160156,48.13080596923828,49.081974029541016,50.56732940673828,48.20387268066406,48.82829666137695,51.701881408691406,15.000000953674316,15.789472579956055,20,5,4.761904716491699,0,0,0,0,0,0,0,14.285715103149414,0,0,0,0,9.523809432983398,5,0,0,0,31.57894515991211,60.000003814697266,48.173851013183594,137438953472,0,27833499648,0
205,1771506477384,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.39826965332031,50.711830139160156,48.13080596923828,49.081974029541016,50.56732940673828,48.20387268066406,48.82829666137695,51.701881408691406,4.761904716491699,5,19.047618865966797,4.761904716491699,0,0,0,0,4.761904716491699,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,57.142860412597656,42.85714340209961,148.2881622314453,137438953472,0,28085551104,0
