Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771521631410,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.932762145996094,59.686561584472656,53.14118576049805,50.83793640136719,50.16532516479492,46.56842041015625,46.19684982299805,48.670814514160156,0,0,NaN,0,0,0,NaN,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,50,0,100,0,0,0,26.384544372558594,137438953472,0,20279705600,0
205,1771521631410,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.932762145996094,59.686561584472656,53.14118576049805,50.83793640136719,50.16532516479492,46.56842041015625,46.19684982299805,48.670814514160156,NaN,NaN,0,0,0,NaN,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,26.384544372558594,137438953472,0,20280934400,0
209,1771521631616,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.932762145996094,59.686561584472656,53.14118576049805,50.83793640136719,50.16532516479492,46.56842041015625,46.19684982299805,48.670814514160156,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,61.904762268066406,47.619049072265625,19.047618865966797,47.619049072265625,0,4.761904716491699,26.384544372558594,137438953472,0,22204301312,0
209,1771521631826,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.932762145996094,59.686561584472656,53.14118576049805,50.83793640136719,50.16532516479492,46.56842041015625,46.19684982299805,48.670814514160156,9.523809432983398,5,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,80,35,0,0,4.761904716491699,0,26.384544372558594,137438953472,0,24832737280,0
204,1771521632036,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,55.86463165283203,55.237300872802734,51.07194519042969,51.95417785644531,52.30247497558594,48.10344696044922,47.76863098144531,50.83457565307617,5,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,71.42857360839844,33.333335876464844,19.047618865966797,9.523809432983398,4.761904716491699,4.545454502105713,26.384544372558594,137438953472,0,25209356288,0
199,1771521632241,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,55.86463165283203,55.237300872802734,51.07194519042969,51.95417785644531,52.30247497558594,48.10344696044922,47.76863098144531,50.83457565307617,4.761904716491699,4.761904716491699,5,0,0,0,0,0,0,0,0,0,9.523809432983398,0,0,0,0,0,50,30.000001907348633,30.000001907348633,0,9.523809432983398,0,26.384544372558594,137438953472,0,25338281984,0
205,1771521632441,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,55.86463165283203,55.237300872802734,51.07194519042969,51.95417785644531,52.30247497558594,48.10344696044922,47.76863098144531,50.83457565307617,15.789472579956055,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9.090909004211426,47.36842346191406,42.105262756347656,30.000001907348633,14.285715103149414,5,0,88.14823913574219,137438953472,0,25334415360,0
200,1771521632646,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,55.86463165283203,55.237300872802734,51.07194519042969,51.95417785644531,52.30247497558594,48.10344696044922,47.76863098144531,50.83457565307617,4.761904716491699,10,4.761904716491699,5,4.761904716491699,0,0,0,5,0,0,0,4.761904716491699,0,0,0,0,0,50,28.571430206298828,35,20,0,0,88.14823913574219,137438953472,0,25334415360,0
209,1771521632848,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,55.86463165283203,58.7693977355957,53.61655807495117,53.04591751098633,53.99297332763672,50.28171157836914,50.06306457519531,52.8682746887207,20,10,4.761904716491699,4.761904716491699,5,0,0,0,0,0,0,0,21.052631378173828,0,0,0,0,5.263157844543457,50,57.894737243652344,15.000000953674316,9.523809432983398,0,5,88.14823913574219,137438953472,0,25334415360,0
201,1771521633058,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.1768913269043,58.7693977355957,53.61655807495117,53.04591751098633,53.99297332763672,50.28171157836914,50.06306457519531,52.8682746887207,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454502105713,4.545454502105713,35,47.619049072265625,45,0,9.090909004211426,0,88.14823913574219,137438953472,0,25769459712,0
200,1771521633259,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.1768913269043,58.7693977355957,53.61655807495117,53.04591751098633,53.99297332763672,50.28171157836914,50.06306457519531,52.8682746887207,5.263157844543457,5,0,0,0,0,0,0,14.285715103149414,0,0,0,0,0,0,0,0,0,70,15.000000953674316,25,14.285715103149414,4.761904716491699,9.090909004211426,88.14823913574219,137438953472,0,25771491328,0
203,1771521633460,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.1768913269043,58.7693977355957,53.61655807495117,53.04591751098633,53.99297332763672,50.28171157836914,50.06306457519531,52.8682746887207,5,5,0,4.761904716491699,0,0,0,0,0,0,0,0,5,0,0,0,0,0,52.38095474243164,63.15789031982422,10,5,0,0,146.25979614257813,137438953472,0,25758367744,0
208,1771521633663,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,56.1768913269043,58.7693977355957,53.61655807495117,53.04591751098633,53.99297332763672,50.28171157836914,50.06306457519531,52.8682746887207,52.38095474243164,15.000000953674316,10,0,0,5,0,0,0,0,0,0,5,0,0,0,0,4.761904716491699,52.6315803527832,30.000001907348633,20,0,5,5,146.25979614257813,137438953472,0,25758367744,0
209,1771521633872,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,57.544525146484375,58.964664459228516,54.09122085571289,54.06113815307617,54.51179122924805,50.931636810302734,50.818275451660156,53.50956344604492,33.333335876464844,0,4.545454502105713,4.761904716491699,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,35,57.142860412597656,10,18.18181800842285,0,0,146.25979614257813,137438953472,0,25758367744,0
199,1771521634082,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,57.544525146484375,58.964664459228516,54.09122085571289,54.06113815307617,54.51179122924805,50.931636810302734,50.818275451660156,53.50956344604492,4.761904716491699,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,0,4.545454502105713,0,0,0,9.523809432983398,0,0,66.66667175292969,26.3157901763916,9.523809432983398,9.523809432983398,4.761904716491699,5,146.25979614257813,137438953472,0,25746997248,0
208,1771521634282,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,57.544525146484375,58.964664459228516,54.09122085571289,54.06113815307617,54.51179122924805,50.931636810302734,50.818275451660156,53.50956344604492,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,50,30.000001907348633,10.526315689086914,31.57894515991211,0,4.761904716491699,148.68115234375,137438953472,0,25753845760,0
209,1771521634491,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,57.544525146484375,58.964664459228516,54.09122085571289,54.06113815307617,54.51179122924805,50.931636810302734,50.818275451660156,53.50956344604492,15.000000953674316,9.523809432983398,4.761904716491699,0,4.545454502105713,0,0,0,0,0,0,0,9.090909004211426,0,0,0,0,4.761904716491699,60.000003814697266,42.85714340209961,20,9.090909004211426,9.523809432983398,0,148.68115234375,137438953472,0,25742901248,0
