Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1771063137894,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,10,27.272727966308594,42.85714340209961,45,31.57894515991211,5.263157844543457,5,0,0,0,0,0,45,33.806785583496094,38654705664,0,20574224384,0
201,1771063138098,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,10.526315689086914,31.57894515991211,21.052631378173828,42.85714340209961,45,5,0,9.090909004211426,0,0,4.761904716491699,0,42.105262756347656,33.806785583496094,38654705664,0,20551958528,0
204,1771063138300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,14.285715103149414,40,57.142860412597656,35,35,9.523809432983398,5,0,4.761904716491699,0,0,0,28.571430206298828,33.806785583496094,38654705664,0,20559020032,0
202,1771063138505,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,5.263157844543457,15.000000953674316,10,19.047618865966797,50,0,0,0,0,0,0,0,30.000001907348633,33.806785583496094,38654705664,0,20752515072,0
201,1771063138708,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,14.285715103149414,28.571430206298828,25,21.052631378173828,14.285715103149414,5,0,0,0,0,0,0,25,33.806785583496094,38654705664,0,20752515072,0
202,1771063138909,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.789472579956055,10,26.3157901763916,28.571430206298828,26.3157901763916,20,0,4.761904716491699,5,4.761904716491699,0,0,0,26.3157901763916,34.45326232910156,38654705664,0,20752515072,0
200,1771063139112,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,10,25,22.22222328186035,28.571430206298828,10,5,0,0,0,0,0,4.761904716491699,26.3157901763916,34.45326232910156,38654705664,0,20752515072,0
201,1771063139312,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.789472579956055,10.526315689086914,25,25,21.052631378173828,26.3157901763916,0,0,0,0,5,0,0,25,34.45326232910156,38654705664,0,20596293632,0
201,1771063139513,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,40,1.5,1.5,1.5,40,40,40,1.5,1.5,20,10,21.052631378173828,25,25,23.809524536132813,0,4.761904716491699,5,0,0,0,0,28.571430206298828,34.45326232910156,38654705664,0,20594999296,0
200,1771063139715,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,40,1.5,1.5,1.5,40,40,40,1.5,1.5,21.052631378173828,10.526315689086914,25,25,21.052631378173828,21.052631378173828,5,0,4.761904716491699,4.761904716491699,0,0,0,20,34.45326232910156,38654705664,0,20505051136,0
204,1771063139915,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,40,1.5,1.5,1.5,40,40,40,1.5,1.5,20,10,26.3157901763916,25,25,25,4.761904716491699,0,0,0,4.761904716491699,4.761904716491699,0,16.666667938232422,27.690479278564453,38654705664,0,20462108672,0
200,1771063140120,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,40,1.5,1.5,1.5,40,40,40,1.5,1.5,21.052631378173828,15.000000953674316,25,21.052631378173828,28.571430206298828,25,9.523809432983398,4.761904716491699,0,0,5,0,4.761904716491699,42.85714340209961,27.690479278564453,38654705664,0,20777156608,0
204,1771063140321,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,40,40,40,1.5,1.5,1.5,40,40,40,1.5,1.5,21.052631378173828,15.000000953674316,35,57.142860412597656,31.57894515991211,40,0,5,0,0,5,0,0,30.000001907348633,27.690479278564453,38654705664,0,20779155456,0
204,1771063140526,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,23.809524536132813,10.526315689086914,47.619049072265625,21.052631378173828,45,35,5,0,9.523809432983398,9.090909004211426,4.761904716491699,0,0,35,27.690479278564453,38654705664,0,20777992192,0
203,1771063140731,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,14.285715103149414,26.3157901763916,47.619049072265625,42.85714340209961,45,9.523809432983398,9.090909004211426,0,0,0,4.761904716491699,0,31.57894515991211,27.690479278564453,38654705664,0,20775059456,0
200,1771063140935,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,21.052631378173828,15.000000953674316,38.095237731933594,36.842105865478516,25,38.095237731933594,5.263157844543457,5,9.523809432983398,0,0,0,0,52.38095474243164,21.99756622314453,38654705664,0,20775059456,0
200,1771063141135,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,25,20,30.000001907348633,40,50,31.57894515991211,14.285715103149414,10,0,0,0,0,0,31.57894515991211,21.99756622314453,38654705664,0,20775059456,0
