Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
203,1771063390757,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.93365478515625,67.59978485107422,66.15625,69.375,67.30763244628906,69.39146423339844,70.728271484375,66.46614837646484,68.51300811767578,66.53839111328125,64.8062515258789,65.34881591796875,15.000000953674316,10.526315689086914,0,0,0,0,5,5.263157844543457,15.789472579956055,20,60.000003814697266,25,35,0,29.500282287597656,38654705664,0,20630175744,0
204,1771063390961,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.93365478515625,67.59978485107422,66.15625,69.375,67.30763244628906,69.39146423339844,70.728271484375,66.46614837646484,68.51300811767578,66.53839111328125,64.8062515258789,65.34881591796875,20,14.285715103149414,0,0,0,0,9.523809432983398,4.761904716491699,28.571430206298828,15.789472579956055,30.000001907348633,35,45,0,30.76111602783203,38654705664,0,20972322816,0
204,1771063391166,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.93365478515625,67.59978485107422,66.15625,69.375,67.30763244628906,69.39146423339844,70.728271484375,66.46614837646484,68.51300811767578,66.53839111328125,64.8062515258789,65.34881591796875,15.000000953674316,15.000000953674316,9.090909004211426,0,0,0,5.263157844543457,9.523809432983398,35,47.619049072265625,28.571430206298828,40,20,0,30.76111602783203,38654705664,0,20972322816,0
204,1771063391371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.45645141601563,67.43294525146484,66.609375,69.59375,67.80632781982422,69.5296630859375,68.53599548339844,66.71868896484375,68.80207061767578,66.52992248535156,67.1938705444336,68.87655639648438,21.052631378173828,15.000000953674316,5,4.761904716491699,0,0,9.523809432983398,0,52.6315803527832,23.809524536132813,21.052631378173828,38.095237731933594,19.047618865966797,4.761904716491699,30.76111602783203,38654705664,0,20972322816,0
202,1771063391576,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.45645141601563,67.43294525146484,66.609375,69.59375,67.80632781982422,69.5296630859375,68.53599548339844,66.71868896484375,68.80207061767578,66.52992248535156,67.1938705444336,68.87655639648438,20,15.000000953674316,0,0,0,0,9.523809432983398,5,23.809524536132813,20,38.095237731933594,30.000001907348633,40,4.761904716491699,30.76111602783203,38654705664,0,20972322816,0
204,1771063391779,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.45645141601563,67.43294525146484,66.609375,69.59375,67.80632781982422,69.5296630859375,68.53599548339844,66.71868896484375,68.80207061767578,66.52992248535156,67.1938705444336,68.87655639648438,25,14.285715103149414,0,9.523809432983398,4.761904716491699,9.523809432983398,10,9.523809432983398,30.000001907348633,45,25,35,31.57894515991211,5,30.76111602783203,38654705664,0,20896399360,0
202,1771063391983,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.45645141601563,67.43294525146484,66.609375,69.59375,67.80632781982422,69.5296630859375,68.53599548339844,66.71868896484375,68.80207061767578,66.52992248535156,67.1938705444336,68.87655639648438,25,15.789472579956055,5,0,0,0,15.000000953674316,20,19.047618865966797,30.000001907348633,40,30.000001907348633,33.333335876464844,0,30.420818328857422,38654705664,0,20896546816,0
204,1771063392186,4,4,4,4,4,4,4,4,4,4,4,4,4,4,65.45645141601563,67.43294525146484,66.609375,69.59375,67.80632781982422,69.5296630859375,68.53599548339844,66.71868896484375,68.80207061767578,66.52992248535156,67.1938705444336,68.87655639648438,15.789472579956055,10,0,0,0,0,5,4.761904716491699,31.57894515991211,38.095237731933594,21.052631378173828,30.000001907348633,30.000001907348633,0,30.420818328857422,38654705664,0,20896546816,0
199,1771063392391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,18.18181800842285,9.523809432983398,33.333335876464844,23.809524536132813,15.000000953674316,15.000000953674316,0,0,19.047618865966797,5.263157844543457,4.761904716491699,5,14.285715103149414,20,30.420818328857422,38654705664,0,20896546816,0
200,1771063392591,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.000000953674316,15.789472579956055,30.000001907348633,33.333335876464844,35,10,0,0,0,0,0,0,35,30.420818328857422,38654705664,0,20896546816,0
